id;name;surname;description;height;birthday;gender
1;Джеймс;Кэмерон;Продюсер, Сценарист, Режиссер, Актер, Монтажер, Художник, Оператор;1.87;1954-08-16;0
2;Гейл Энн;Хёрд;Продюсер, Сценарист, Актриса;1.63;1955-10-25;1
3;Уильям;Уишер мл.;Сценарист, Актер, Продюсер;;1958-09-1;0
4;Джон;Дэйли;Продюсер, Сценарист, Режиссер;;1937-07-16;0
5;Дерек;Гибсон;Продюсер;;1945-07-7;0
6;Адам;Гринберг;Оператор, Актер;;1938-11-30;0
7;Брэд;Фидель;Композитор, Актер;;;0
8;Мария Ребман;Казо;Художник, Актриса;;1962;1
9;Джордж;Костильо;Художник, Продюсер, Актер;;;0
10;Хилари;Райт;Художник;;;1
11;Марк;Голдблатт;Монтажер, Режиссер, Актер;;;0
12;Арнольд;Шварценеггер;Актер, Продюсер, Режиссер;1.85;1947-07-30;0
